00:07:00.549 [main] INFO  utilities.Base - ie launched
00:23:20.885 [TestNG-test=Regression groups-1] INFO  utilities.Base - chrome launched
00:23:58.913 [TestNG-test=Regression groups-1] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
00:27:10.671 [TestNG-test=Regression groups-1] INFO  utilities.Base - browser closed
00:39:49.910 [TestNG-test=Regression groups-1] INFO  utilities.Base - chrome launched
00:40:06.595 [TestNG-test=Regression groups-1] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
00:40:40.994 [TestNG-test=Regression groups-1] INFO  PageObject.UndoPayment - Navigated to Payment webpage
00:41:25.678 [TestNG-test=Regression groups-1] INFO  PageObject.UndoRechStatus - Recharge sucessfully for the number5523261151
00:41:25.788 [TestNG-test=Regression groups-1] INFO  PageObject.UndoRechStatus - Recharge Successfully
00:45:36.223 [TestNG-test=Regression groups-1] INFO  utilities.Base - chrome launched
00:45:53.311 [TestNG-test=Regression groups-1] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
00:46:00.746 [TestNG-test=Regression groups-1] INFO  PageObject.UndoPayment - Navigated to Payment webpage
00:46:20.959 [TestNG-test=Regression groups-1] INFO  utilities.Base - browser closed
00:50:48.669 [TestNG-test=Regression groups-1] INFO  utilities.Base - chrome launched
00:51:23.920 [TestNG-test=Regression groups-1] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
00:52:09.192 [TestNG-test=Regression groups-1] INFO  PageObject.UndoPayment - Navigated to Payment webpage
00:53:36.928 [TestNG-test=Regression groups-1] INFO  utilities.Base - browser closed
00:55:15.930 [TestNG-test=Regression groups-1] INFO  utilities.Base - chrome launched
00:55:37.210 [TestNG-test=Regression groups-1] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
00:56:16.334 [TestNG-test=Regression groups-1] INFO  PageObject.UndoPayment - Navigated to Payment webpage
00:56:31.449 [TestNG-test=Regression groups-1] INFO  utilities.Base - browser closed
